Player,Salary,NBA_Country,NBA_DraftNumber,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Semi Ojeleye,1.291892,USA,37,23,BOS,69,1049,4.0,0.44799999999999995,0.6890000000000001,0.25,3.7,11.0,7.4,2.4,1.0,0.2,10.8,8.7,-0.3,1.2,0.9,0.042,-3.8,0.3,-3.5,-0.4
Sean Kilpatrick,1.524305,USA,62,28,TOT,48,537,9.5,0.475,0.5,0.23800000000000002,0.6,14.9,7.7,11.5,0.8,0.6,10.3,24.6,-0.5,0.3,-0.2,-0.02,-3.7,-3.8,-7.5,-0.7
Scotty Hopson,0.074159,USA,62,28,DAL,1,8,-4.6,0.266,0.0,2.0,0.0,0.0,0.0,15.8,0.0,0.0,34.7,16.4,0.0,0.0,0.0,-0.237,-14.8,-5.9,-20.7,0.0
Sam Dekker,1.7946,USA,18,23,LAC,69,817,11.1,0.526,0.251,0.222,5.2,15.5,10.4,6.0,1.3,0.9,10.3,15.5,0.4,0.6,1.1,0.063,-2.4,-0.9,-3.3,-0.3
Salah Mejri,1.471382,Tunisia,62,31,DAL,61,729,17.8,0.644,0.022000000000000002,0.48200000000000004,12.6,25.3,18.8,7.2,1.5,8.2,19.0,12.8,1.3,1.3,2.7,0.177,-2.1,5.4,3.2,1.0
Ryan Anderson,19.578455,USA,21,29,HOU,66,1725,12.6,0.5920000000000001,0.706,0.19399999999999998,6.2,15.4,10.8,5.1,0.7,1.0,7.5,14.4,3.1,1.6,4.7,0.131,1.1,-0.8,0.2,1.0
Russell Westbrook,28.530608,USA,4,29,OKC,77,2801,25.0,0.528,0.19399999999999998,0.33899999999999997,5.4,25.3,15.0,49.4,2.5,0.6,16.4,34.3,5.5,4.3,9.8,0.168,5.2,3.0,8.2,7.2
Rudy Gobert,21.974719,France,27,25,UTA,52,1702,20.9,0.659,0.0,0.682,10.3,27.5,19.0,6.7,1.2,6.1,15.5,16.9,4.0,3.6,7.6,0.214,-0.3,4.5,4.2,2.7
Rudy Gay,8.406,USA,8,31,SAS,54,1160,17.8,0.545,0.21899999999999997,0.268,6.7,19.5,13.1,9.5,1.9,2.6,11.6,24.5,0.9,2.0,2.9,0.121,-0.8,1.0,0.2,0.6
Royce O'Neale,0.815615,USA,62,24,UTA,65,1052,10.4,0.521,0.41200000000000003,0.267,2.7,20.2,11.5,12.3,1.7,1.2,15.1,14.8,0.3,1.7,1.9,0.087,-2.7,1.7,-1.1,0.2
Rondae Hollis-Jefferson,1.471382,USA,23,23,BRK,64,1811,17.3,0.55,0.07400000000000001,0.436,5.8,19.8,12.7,14.2,1.6,1.7,11.5,22.6,2.3,1.8,4.1,0.10800000000000001,-1.1,0.9,-0.2,0.8
Ron Baker,4.328,USA,62,24,NYK,29,385,9.3,0.504,0.5589999999999999,0.441,1.4,7.2,4.3,15.5,3.3,1.4,20.4,10.0,0.1,0.4,0.5,0.059000000000000004,-1.9,0.9,-1.0,0.1
Rodney Purvis,0.09216,USA,62,23,ORL,12,203,4.1,0.42700000000000005,0.5770000000000001,0.127,0.0,8.2,4.1,7.1,0.7,1.2,9.6,18.0,-0.3,0.1,-0.3,-0.06,-5.0,-2.7,-7.7,-0.3
Rodney McGruder,1.312611,USA,62,26,MIA,15,258,12.4,0.623,0.484,0.094,3.5,8.3,5.9,6.9,1.6,0.7,5.7,12.3,0.4,0.3,0.7,0.131,0.3,-0.6,-0.3,0.1
Rodney Hood,2.386864,USA,23,25,TOT,58,1576,14.4,0.545,0.447,0.162,1.6,9.8,5.8,9.7,1.4,0.6,8.1,24.6,1.1,1.4,2.5,0.077,0.2,-2.2,-2.1,0.0
Robin Lopez,13.7885,USA,15,29,CHI,64,1690,14.7,0.552,0.022000000000000002,0.14,8.2,10.2,9.2,12.3,0.4,2.8,13.5,20.4,1.2,0.8,2.0,0.057,-1.6,-0.2,-1.9,0.1
Robert Covington,16.698103,USA,62,27,PHI,76,2408,12.8,0.562,0.6559999999999999,0.162,2.5,15.3,9.1,8.7,2.6,2.2,12.3,17.5,1.5,4.2,5.7,0.113,0.4,2.0,2.4,2.7
Ricky Rubio,14.275,Spain,5,27,UTA,73,2185,15.0,0.5329999999999999,0.33,0.307,2.2,15.2,8.8,28.3,2.6,0.4,18.3,22.8,1.2,3.5,4.7,0.10300000000000001,-0.1,1.5,1.3,1.8
Richaun Holmes,1.471382,USA,37,24,PHI,44,668,16.8,0.5660000000000001,0.14400000000000002,0.23600000000000002,8.6,22.0,15.5,12.8,1.3,3.2,8.4,16.7,1.3,1.1,2.4,0.175,-0.5,1.9,1.4,0.6
Richard Jefferson,2.5,USA,13,37,DEN,20,163,6.3,0.499,0.259,0.259,1.4,10.4,5.9,12.0,0.6,0.5,14.3,9.3,0.1,0.0,0.1,0.027999999999999997,-3.8,-2.1,-5.9,-0.2
Reggie Jackson,16.0,USA,24,27,DET,41,1084,15.5,0.516,0.294,0.231,2.7,9.3,5.9,32.1,1.1,0.3,14.3,27.4,0.7,0.9,1.6,0.069,0.5,-2.1,-1.6,0.1
Reggie Bullock,2.5,USA,25,26,DET,62,1732,13.6,0.615,0.515,0.09,1.7,8.3,4.9,8.4,1.4,0.7,7.6,15.7,2.8,1.5,4.3,0.11800000000000001,1.3,-0.6,0.7,1.2
Raymond Felton,2.328652,USA,5,33,OKC,79,1324,13.2,0.49200000000000005,0.41,0.08,2.0,11.1,6.4,22.9,1.8,1.0,11.5,20.4,0.9,1.3,2.2,0.08,-1.1,-1.8,-2.8,-0.3
